Order_ID,Customer_ID,Customer_Name,Age,Gender,City,State,Product_Category,Product_Name,Payment_Mode,Order_Date,Quantity,Unit_Price,Discount_Percent,Final_Amount,Delivery_Time_Days,Customer_Rating,Repeat_Customer
ORD00024,CUST954,Diya,55,Male,Delhi,Delhi,Home Decor,Photo Frame,Debit Card,2025-03-07,1,735.99,25,551.99,3,4.5,Yes
ORD00025,CUST898,Riya,44,Male,Jaipur,Rajasthan,Grocery,Dry Fruits Pack,COD,2025-03-25,3,1207.37,5,3441.0,7,3.1,Yes
ORD00026,CUST852,Krishna,35,Male,Bangalore,Karnataka,Electronics,Smart Watch,UPI,2025-07-15,3,3954.46,15,10083.87,8,3.3,Yes
ORD00027,CUST328,Aarav,30,Female,Hyderabad,Telangana,Fashion,Sneakers,Credit Card,2025-05-23,4,1877.36,30,5256.61,8,3.5,Yes
ORD00028,CUST371,Vivaan,24,Female,Jaipur,Rajasthan,Grocery,Basmati Rice,Credit Card,2025-06-10,3,4707.34,0,14122.02,4,3.9,No
ORD00029,CUST925,Riya,30,Female,Mumbai,Maharashtra,Home Decor,Wall Clock,Debit Card,2025-02-05,3,412.06,15,1050.75,2,4.7,No
ORD00030,CUST667,Arjun,30,Female,Surat,Gujarat,Electronics,Power Bank,Debit Card,2025-12-13,3,3400.09,10,9180.24,5,4.1,Yes
ORD00031,CUST770,Ananya,47,Female,Jaipur,Rajasthan,Home Decor,LED Lamp,Debit Card,2025-12-12,3,1576.19,15,4019.28,8,3.3,Yes
ORD00032,CUST938,Krishna,37,Male,Hyderabad,Telangana,Fashion,Kurti,COD,2025-03-17,3,2673.17,25,6014.63,6,3.6,Yes
ORD00033,CUST813,Ira,49,Female,Ahmedabad,Gujarat,Fashion,Handbag,COD,2025-03-17,1,2385.0,25,1788.75,6,3.5,Yes
ORD00034,CUST670,Krishna,25,Female,Mumbai,Maharashtra,Home Decor,Wall Clock,COD,2025-08-26,2,4058.73,25,6088.1,6,3.7,No
ORD00035,CUST365,Krishna,35,Female,Hyderabad,Telangana,Beauty,Body Lotion,COD,2025-05-21,4,4505.6,25,13516.8,8,3.2,No
ORD00036,CUST336,Ira,27,Male,Mumbai,Maharashtra,Grocery,Organic Honey,UPI,2025-08-01,3,1811.07,20,4346.57,2,4.4,No
ORD00037,CUST888,Aarav,54,Female,Surat,Gujarat,Beauty,Body Lotion,Debit Card,2025-01-04,4,497.88,30,1394.06,5,3.9,No
ORD00038,CUST498,Ananya,43,Male,Jaipur,Rajasthan,Home Decor,Photo Frame,Debit Card,2025-03-07,2,2542.5,10,4576.5,5,3.9,Yes
ORD00039,CUST151,Ishaan,42,Female,Bangalore,Karnataka,Beauty,Face Serum,COD,2025-08-21,1,3284.2,5,3119.99,8,3.2,No
ORD00040,CUST652,Vivaan,40,Male,Surat,Gujarat,Home Decor,Cushion Cover,UPI,2025-11-30,4,1409.9,0,5639.6,5,3.6,Yes
ORD00041,CUST217,Reyansh,47,Female,Ahmedabad,Gujarat,Fashion,Sneakers,Credit Card,2025-03-27,1,3181.41,5,3022.34,3,4.4,Yes
ORD00042,CUST484,Ira,30,Male,Delhi,Delhi,Grocery,Dry Fruits Pack,Net Banking,2025-12-20,1,4657.66,20,3726.13,7,3.8,Yes
ORD00043,CUST618,Ananya,18,Female,Mumbai,Maharashtra,Grocery,Dry Fruits Pack,Debit Card,2025-02-24,1,1865.58,15,1585.74,7,3.3,No
ORD00044,CUST927,Riya,48,Female,Surat,Gujarat,Home Decor,Wall Clock,Debit Card,2025-10-31,4,1044.46,20,3342.27,7,3.3,No
ORD00045,CUST724,Ira,39,Male,Surat,Gujarat,Fashion,Kurti,Debit Card,2025-06-16,3,4430.83,5,12627.87,8,3.2,Yes
ORD00046,CUST669,Aarav,51,Male,Hyderabad,Telangana,Fashion,T-Shirt,UPI,2025-05-04,3,1832.63,20,4398.31,7,3.8,No
ORD00047,CUST195,Kabir,32,Female,Hyderabad,Telangana,Beauty,Lipstick,COD,2025-06-06,4,3299.33,15,11217.72,5,4.2,No
ORD00048,CUST564,Ishaan,37,Female,Hyderabad,Telangana,Beauty,Shampoo,COD,2025-03-03,4,4982.83,20,15945.06,4,4.1,Yes
ORD00049,CUST878,Kavya,36,Male,Surat,Gujarat,Electronics,Smart Watch,COD,2025-06-01,2,1237.65,15,2104.01,4,4.4,Yes
ORD00050,CUST155,Riya,36,Male,Surat,Gujarat,Fashion,T-Shirt,Debit Card,2025-02-22,1,3597.49,5,3417.62,4,3.8,Yes
ORD00051,CUST589,Vihaan,22,Female,Jaipur,Rajasthan,Home Decor,Photo Frame,Debit Card,2025-02-07,4,1834.39,0,7337.56,4,4.6,Yes
ORD00052,CUST720,Krishna,51,Female,Delhi,Delhi,Fashion,T-Shirt,Debit Card,2025-08-15,1,4969.81,0,4969.81,6,3.9,No
ORD00053,CUST776,Aditya,28,Male,Bangalore,Karnataka,Grocery,Dry Fruits Pack,COD,2025-10-10,1,4747.43,5,4510.06,7,3.2,Yes
ORD00054,CUST395,Kabir,47,Male,Delhi,Delhi,Electronics,Wireless Earbuds,COD,2025-05-16,4,3507.98,15,11927.13,4,3.8,Yes
ORD00055,CUST269,Kabir,54,Female,Bangalore,Karnataka,Electronics,Smart Watch,Debit Card,2025-03-05,2,4559.37,30,6383.12,3,4.1,No
ORD00056,CUST852,Ananya,34,Male,Jaipur,Rajasthan,Home Decor,Cushion Cover,UPI,2025-04-28,4,2300.24,20,7360.77,2,5.0,Yes
ORD00057,CUST285,Meera,49,Male,Jaipur,Rajasthan,Beauty,Face Serum,Debit Card,2025-06-28,2,2457.4,25,3686.1,5,4.3,No
ORD00058,CUST510,Riya,20,Female,Surat,Gujarat,Grocery,Dry Fruits Pack,UPI,2025-06-11,2,1782.06,25,2673.09,5,3.8,No
ORD00059,CUST292,Kavya,41,Female,Surat,Gujarat,Electronics,Wireless Earbuds,Debit Card,2025-01-27,1,3355.77,20,2684.62,5,3.9,Yes
ORD00060,CUST745,Krishna,28,Female,Jaipur,Rajasthan,Beauty,Lipstick,Net Banking,2025-01-08,3,2301.96,25,5179.41,5,3.6,No
ORD00061,CUST833,Kabir,50,Female,Mumbai,Maharashtra,Fashion,Kurti,Debit Card,2025-09-05,4,4744.89,25,14234.67,8,2.9,No
ORD00062,CUST239,Aditya,35,Female,Pune,Maharashtra,Home Decor,Wall Clock,Credit Card,2025-09-17,4,1113.93,20,3564.58,6,3.9,No
ORD00063,CUST440,Riya,52,Female,Ahmedabad,Gujarat,Grocery,Tea Box,Debit Card,2025-06-14,4,4352.25,15,14797.65,6,3.7,Yes
ORD00064,CUST584,Ira,42,Male,Pune,Maharashtra,Beauty,Body Lotion,Debit Card,2025-01-19,2,4307.86,15,7323.36,2,4.6,Yes
ORD00065,CUST519,Arjun,22,Female,Surat,Gujarat,Electronics,Wireless Earbuds,Credit Card,2025-06-23,1,2723.57,15,2315.03,2,4.9,No
ORD00066,CUST136,Aditya,33,Female,Mumbai,Maharashtra,Grocery,Basmati Rice,COD,2025-02-16,3,3207.64,30,6736.04,5,4.2,No
ORD00067,CUST157,Kabir,40,Female,Mumbai,Maharashtra,Electronics,Wireless Earbuds,Debit Card,2025-03-16,2,3530.21,0,7060.42,2,4.6,Yes
ORD00068,CUST799,Krishna,49,Male,Bangalore,Karnataka,Beauty,Lipstick,COD,2025-08-25,2,1039.33,20,1662.93,8,3.1,No
ORD00069,CUST552,Diya,55,Female,Hyderabad,Telangana,Grocery,Dry Fruits Pack,Debit Card,2025-12-20,4,4524.81,25,13574.43,6,3.4,No
ORD00070,CUST467,Kabir,36,Male,Hyderabad,Telangana,Grocery,Organic Honey,Debit Card,2025-05-21,4,4295.01,0,17180.04,3,4.4,Yes
ORD00071,CUST324,Reyansh,34,Male,Ahmedabad,Gujarat,Beauty,Body Lotion,UPI,2025-11-18,3,3922.56,5,11179.3,6,3.9,Yes
ORD00072,CUST525,Sai,30,Male,Jaipur,Rajasthan,Home Decor,LED Lamp,Net Banking,2025-07-07,3,3714.33,0,11142.99,4,4.1,No
ORD00073,CUST177,Arjun,32,Female,Delhi,Delhi,Grocery,Basmati Rice,Net Banking,2025-07-07,3,3782.48,10,10212.7,8,2.9,Yes
ORD00074,CUST698,Ira,41,Male,Bangalore,Karnataka,Electronics,Power Bank,COD,2025-08-30,1,2381.97,25,1786.48,7,3.6,Yes
ORD00075,CUST518,Vihaan,26,Male,Surat,Gujarat,Beauty,Lipstick,UPI,2025-06-05,1,3248.94,15,2761.6,7,3.3,No
ORD00076,CUST813,Riya,44,Male,Mumbai,Maharashtra,Electronics,Smart Watch,Debit Card,2025-12-02,2,2064.5,10,3716.1,7,3.8,Yes
ORD00077,CUST341,Diya,24,Female,Hyderabad,Telangana,Beauty,Body Lotion,Net Banking,2025-11-27,3,356.04,10,961.31,3,4.4,No
ORD00078,CUST778,Reyansh,19,Male,Ahmedabad,Gujarat,Home Decor,Cushion Cover,Credit Card,2025-05-05,2,4846.39,30,6784.95,8,3.2,Yes
ORD00079,CUST907,Aarav,35,Male,Pune,Maharashtra,Electronics,Smart Watch,COD,2025-10-04,2,4101.65,5,7793.13,4,4.4,No
ORD00080,CUST431,Aarav,29,Female,Delhi,Delhi,Electronics,Bluetooth Speaker,UPI,2025-03-06,2,270.33,30,378.46,8,3.0,No
ORD00081,CUST615,Krishna,20,Female,Mumbai,Maharashtra,Electronics,Wireless Earbuds,Debit Card,2025-11-26,4,3933.48,20,12587.14,6,3.4,Yes
ORD00082,CUST175,Aditya,38,Male,Ahmedabad,Gujarat,Home Decor,Photo Frame,UPI,2025-03-06,4,3492.27,15,11873.72,7,3.8,No
ORD00083,CUST217,Riya,31,Female,Surat,Gujarat,Home Decor,Cushion Cover,Debit Card,2025-04-27,4,2625.65,15,8927.21,2,4.9,No
ORD00084,CUST361,Diya,27,Female,Surat,Gujarat,Home Decor,Photo Frame,UPI,2025-02-16,4,3701.14,10,13324.1,5,3.8,Yes
ORD00085,CUST675,Riya,39,Male,Mumbai,Maharashtra,Home Decor,LED Lamp,Debit Card,2025-07-01,3,4095.49,20,9829.18,2,4.8,No
ORD00086,CUST593,Krishna,24,Female,Ahmedabad,Gujarat,Grocery,Tea Box,Net Banking,2025-07-08,3,696.28,20,1671.07,3,4.2,Yes
ORD00087,CUST791,Riya,19,Female,Jaipur,Rajasthan,Beauty,Lipstick,UPI,2025-04-03,4,4255.74,30,11916.07,8,3.3,No
ORD00088,CUST171,Arjun,19,Male,Jaipur,Rajasthan,Grocery,Tea Box,Net Banking,2025-04-21,1,1069.75,5,1016.26,6,3.8,No
ORD00089,CUST681,Aditya,21,Male,Bangalore,Karnataka,Home Decor,Cushion Cover,COD,2025-11-13,2,1975.25,25,2962.88,4,4.4,Yes
ORD00090,CUST873,Kavya,25,Female,Mumbai,Maharashtra,Grocery,Basmati Rice,Debit Card,2025-02-26,4,2530.18,15,8602.61,5,3.8,No
ORD00091,CUST408,Reyansh,26,Female,Hyderabad,Telangana,Beauty,Shampoo,Credit Card,2025-06-17,1,1257.49,20,1005.99,2,4.3,Yes
ORD00092,CUST672,Diya,22,Female,Ahmedabad,Gujarat,Home Decor,Photo Frame,UPI,2025-08-12,2,819.09,20,1310.54,7,3.2,Yes
ORD00093,CUST217,Ira,19,Female,Hyderabad,Telangana,Electronics,Power Bank,COD,2025-11-13,4,2951.32,25,8853.96,7,3.4,No
ORD00094,CUST505,Kabir,39,Male,Surat,Gujarat,Electronics,Wireless Earbuds,Credit Card,2025-03-28,1,1366.92,20,1093.54,5,4.0,Yes
ORD00095,CUST341,Vihaan,27,Female,Mumbai,Maharashtra,Beauty,Lipstick,COD,2025-03-30,3,1884.28,30,3956.99,7,3.7,Yes
ORD00096,CUST678,Ananya,38,Male,Mumbai,Maharashtra,Fashion,Handbag,Debit Card,2025-02-04,4,3820.34,30,10696.95,6,3.7,No
ORD00097,CUST138,Vivaan,41,Female,Hyderabad,Telangana,Grocery,Tea Box,UPI,2025-11-27,1,1888.32,0,1888.32,4,4.2,Yes
ORD00098,CUST719,Aditi,50,Male,Bangalore,Karnataka,Home Decor,LED Lamp,UPI,2025-08-19,4,4562.44,20,14599.81,7,3.2,Yes
ORD00099,CUST724,Sai,41,Female,Surat,Gujarat,Electronics,Smart Watch,Credit Card,2025-07-18,1,1388.17,15,1179.94,5,4.0,No
ORD00100,CUST390,Ishaan,27,Female,Surat,Gujarat,Beauty,Face Serum,UPI,2025-10-26,3,515.38,0,1546.14,6,3.8,Yes
ORD00101,CUST758,Ananya,26,Male,Surat,Gujarat,Grocery,Basmati Rice,Debit Card,2025-09-18,2,3055.2,0,6110.4,4,4.2,No
ORD00102,CUST331,Arjun,27,Male,Ahmedabad,Gujarat,Grocery,Tea Box,Credit Card,2025-02-21,2,4764.61,10,8576.3,8,3.2,Yes
ORD00103,CUST739,Sai,46,Male,Surat,Gujarat,Beauty,Lipstick,Debit Card,2025-07-06,4,939.41,5,3569.76,8,3.4,Yes
ORD00104,CUST903,Aditi,30,Female,Hyderabad,Telangana,Beauty,Shampoo,Net Banking,2025-08-14,4,1322.21,5,5024.4,4,4.6,No
ORD00105,CUST356,Vivaan,48,Female,Jaipur,Rajasthan,Home Decor,Photo Frame,Net Banking,2025-02-22,2,4120.08,30,5768.11,6,3.4,Yes
ORD00106,CUST193,Krishna,46,Female,Jaipur,Rajasthan,Electronics,Smart Watch,UPI,2025-08-01,3,2355.73,20,5653.75,3,4.7,Yes
ORD00107,CUST426,Vihaan,39,Male,Bangalore,Karnataka,Beauty,Shampoo,COD,2025-01-20,2,2052.6,0,4105.2,4,4.0,No
ORD00108,CUST955,Arjun,53,Female,Hyderabad,Telangana,Fashion,Handbag,UPI,2025-05-28,4,3152.67,0,12610.68,2,4.5,Yes
ORD00109,CUST213,Aditi,52,Male,Jaipur,Rajasthan,Electronics,Bluetooth Speaker,Net Banking,2025-10-22,2,2214.16,30,3099.82,6,3.7,Yes
ORD00110,CUST780,Aditya,51,Female,Delhi,Delhi,Grocery,Basmati Rice,UPI,2025-09-27,1,3150.09,5,2992.59,6,3.6,Yes
ORD00111,CUST907,Aditya,40,Male,Bangalore,Karnataka,Home Decor,LED Lamp,UPI,2025-10-25,4,4907.99,10,17668.76,7,3.1,No
ORD00112,CUST575,Aditi,29,Male,Delhi,Delhi,Electronics,Power Bank,UPI,2025-08-23,3,4103.84,5,11695.94,8,3.4,Yes
ORD00113,CUST934,Riya,48,Female,Jaipur,Rajasthan,Fashion,Kurti,UPI,2025-11-28,2,4450.79,10,8011.42,4,4.2,Yes
ORD00114,CUST509,Saanvi,42,Female,Jaipur,Rajasthan,Grocery,Dry Fruits Pack,COD,2025-09-12,3,1510.44,30,3171.92,4,4.1,No
ORD00115,CUST942,Sai,52,Female,Surat,Gujarat,Beauty,Shampoo,Credit Card,2025-02-22,1,3688.99,0,3688.99,5,4.0,Yes
ORD00116,CUST459,Saanvi,20,Female,Surat,Gujarat,Grocery,Tea Box,Net Banking,2025-08-11,4,3091.58,15,10511.37,3,4.6,No
ORD00117,CUST131,Arjun,46,Male,Ahmedabad,Gujarat,Electronics,Wireless Earbuds,COD,2025-02-04,3,2661.81,25,5989.07,7,3.2,Yes
ORD00118,CUST480,Saanvi,22,Male,Surat,Gujarat,Grocery,Basmati Rice,Net Banking,2025-07-07,1,3103.46,25,2327.6,5,4.3,No
ORD00119,CUST675,Vihaan,34,Female,Surat,Gujarat,Grocery,Organic Honey,Debit Card,2025-04-20,1,323.38,5,307.21,5,4.0,No
ORD00120,CUST555,Aditya,38,Female,Hyderabad,Telangana,Fashion,Kurti,UPI,2025-10-09,2,4292.57,15,7297.37,3,4.8,No
ORD00121,CUST342,Aditi,19,Female,Jaipur,Rajasthan,Fashion,Sneakers,Net Banking,2025-10-21,3,2641.03,0,7923.09,3,4.7,No
ORD00122,CUST638,Meera,44,Male,Hyderabad,Telangana,Beauty,Lipstick,COD,2025-06-12,1,514.59,15,437.4,7,3.6,Yes
ORD00123,CUST286,Arjun,45,Male,Hyderabad,Telangana,Home Decor,Cushion Cover,UPI,2025-09-23,2,4413.21,30,6178.49,6,3.8,Yes
ORD00124,CUST631,Kabir,23,Female,Jaipur,Rajasthan,Fashion,Sneakers,COD,2025-11-22,3,4685.74,5,13354.36,4,4.6,No
ORD00125,CUST739,Ananya,54,Male,Delhi,Delhi,Grocery,Dry Fruits Pack,UPI,2025-02-11,2,3039.68,20,4863.49,3,4.2,Yes
ORD00126,CUST409,Aditi,33,Female,Jaipur,Rajasthan,Fashion,Handbag,Credit Card,2025-08-21,1,2589.58,25,1942.18,6,3.5,Yes
ORD00127,CUST420,Ananya,40,Female,Ahmedabad,Gujarat,Fashion,Handbag,COD,2025-07-09,4,2523.41,5,9588.96,4,4.3,Yes
ORD00128,CUST397,Ira,44,Male,Surat,Gujarat,Fashion,Handbag,COD,2025-06-17,1,1482.86,5,1408.72,3,4.1,No
ORD00129,CUST502,Kavya,47,Male,Pune,Maharashtra,Fashion,Handbag,COD,2025-10-26,4,2593.05,10,9334.98,5,3.6,No
ORD00130,CUST392,Riya,18,Male,Ahmedabad,Gujarat,Electronics,Power Bank,Debit Card,2025-03-10,4,3067.09,30,8587.85,7,3.6,No
ORD00131,CUST666,Kabir,22,Female,Surat,Gujarat,Home Decor,Cushion Cover,Net Banking,2025-08-19,1,2121.79,20,1697.43,6,3.5,No
ORD00132,CUST873,Arjun,30,Female,Mumbai,Maharashtra,Fashion,Kurti,Net Banking,2025-01-21,4,1990.35,10,7165.26,6,4.1,Yes
ORD00133,CUST243,Ananya,38,Male,Ahmedabad,Gujarat,Fashion,T-Shirt,Debit Card,2025-11-12,4,2691.8,5,10228.84,6,4.0,No
ORD00134,CUST212,Meera,55,Female,Surat,Gujarat,Beauty,Body Lotion,UPI,2025-11-02,3,2478.48,0,7435.44,4,4.1,No
ORD00135,CUST734,Ira,27,Male,Jaipur,Rajasthan,Beauty,Lipstick,UPI,2025-10-21,1,2999.91,5,2849.91,6,3.8,Yes
ORD00136,CUST613,Aditi,21,Male,Pune,Maharashtra,Electronics,Wireless Earbuds,Net Banking,2025-04-17,3,2209.15,15,5633.33,7,3.2,No
ORD00137,CUST462,Ishaan,48,Male,Hyderabad,Telangana,Beauty,Body Lotion,COD,2025-05-23,3,4791.09,15,12217.28,6,3.6,No
ORD00138,CUST673,Ishaan,36,Male,Pune,Maharashtra,Grocery,Tea Box,Net Banking,2025-12-13,2,3512.15,15,5970.65,4,4.2,No
ORD00139,CUST552,Ishaan,48,Male,Bangalore,Karnataka,Grocery,Organic Honey,COD,2025-10-03,3,400.92,25,902.07,2,4.6,No
ORD00140,CUST338,Vivaan,24,Female,Jaipur,Rajasthan,Fashion,Kurti,Credit Card,2025-08-30,2,1362.8,25,2044.2,6,3.5,Yes
ORD00141,CUST874,Kabir,38,Female,Delhi,Delhi,Electronics,Smart Watch,UPI,2025-02-15,4,3332.89,15,11331.83,5,4.1,Yes
ORD00142,CUST607,Sai,36,Male,Ahmedabad,Gujarat,Fashion,Handbag,UPI,2025-06-02,2,4681.83,0,9363.66,8,3.1,Yes
ORD00143,CUST379,Reyansh,25,Female,Surat,Gujarat,Grocery,Basmati Rice,COD,2025-08-23,4,4467.45,5,16976.31,8,3.2,No
ORD00144,CUST976,Ira,45,Female,Delhi,Delhi,Electronics,Power Bank,UPI,2025-07-25,3,2924.35,30,6141.13,3,4.2,Yes
ORD00145,CUST557,Ishaan,39,Female,Delhi,Delhi,Fashion,Handbag,Net Banking,2025-10-21,3,4690.96,0,14072.88,4,4.1,Yes
ORD00146,CUST802,Kavya,37,Male,Jaipur,Rajasthan,Grocery,Organic Honey,Credit Card,2025-07-08,1,3404.37,15,2893.71,4,3.9,Yes
ORD00147,CUST662,Aditi,52,Male,Pune,Maharashtra,Fashion,Handbag,COD,2025-12-15,2,2382.9,20,3812.64,4,4.1,Yes
ORD00148,CUST617,Reyansh,54,Male,Hyderabad,Telangana,Beauty,Shampoo,COD,2025-06-17,1,4601.77,0,4601.77,2,5.0,No
ORD00149,CUST235,Kavya,44,Female,Mumbai,Maharashtra,Fashion,Handbag,Net Banking,2025-01-30,1,4513.67,15,3836.62,8,2.8,No
ORD00150,CUST146,Meera,40,Male,Jaipur,Rajasthan,Electronics,Wireless Earbuds,Net Banking,2025-01-31,3,4117.98,25,9265.45,3,4.5,Yes
ORD00151,CUST846,Meera,41,Female,Hyderabad,Telangana,Electronics,Power Bank,Debit Card,2025-07-13,4,1062.91,5,4039.06,8,3.3,No
ORD00152,CUST845,Krishna,18,Male,Mumbai,Maharashtra,Beauty,Lipstick,Credit Card,2025-08-26,3,768.44,20,1844.26,5,4.0,No
ORD00153,CUST842,Vihaan,20,Female,Bangalore,Karnataka,Fashion,Sneakers,Net Banking,2025-01-09,4,1860.57,10,6698.05,3,4.8,Yes
ORD00154,CUST350,Vivaan,43,Female,Pune,Maharashtra,Electronics,Bluetooth Speaker,COD,2025-10-04,1,2341.92,25,1756.44,7,3.7,Yes
ORD00155,CUST712,Ananya,33,Female,Ahmedabad,Gujarat,Fashion,T-Shirt,COD,2025-12-05,2,4114.77,25,6172.16,6,3.6,Yes
ORD00156,CUST741,Meera,53,Female,Bangalore,Karnataka,Grocery,Tea Box,UPI,2025-06-26,1,2871.25,20,2297.0,7,3.8,No
ORD00157,CUST346,Krishna,37,Male,Surat,Gujarat,Home Decor,Photo Frame,Debit Card,2025-01-30,2,1638.46,5,3113.07,8,3.2,No
ORD00158,CUST560,Diya,23,Male,Bangalore,Karnataka,Beauty,Lipstick,UPI,2025-05-18,4,1364.72,5,5185.94,4,4.3,No
ORD00159,CUST115,Reyansh,30,Male,Ahmedabad,Gujarat,Electronics,Smart Watch,Debit Card,2025-05-05,2,2500.09,30,3500.13,4,4.0,Yes
ORD00160,CUST367,Diya,50,Female,Bangalore,Karnataka,Fashion,T-Shirt,Debit Card,2025-02-20,3,2026.18,20,4862.83,7,3.3,No
ORD00161,CUST249,Aarav,34,Female,Surat,Gujarat,Fashion,T-Shirt,Credit Card,2025-03-20,3,2185.86,20,5246.06,8,3.0,Yes
ORD00162,CUST881,Aditi,49,Female,Surat,Gujarat,Fashion,Handbag,COD,2025-06-30,2,2595.65,25,3893.48,7,3.3,Yes
ORD00163,CUST636,Vivaan,22,Male,Delhi,Delhi,Beauty,Body Lotion,UPI,2025-07-31,2,4600.12,20,7360.19,7,3.8,Yes
ORD00164,CUST753,Aditi,49,Male,Pune,Maharashtra,Electronics,Smart Watch,UPI,2025-09-30,1,1248.85,15,1061.52,4,3.8,No
ORD00165,CUST925,Sai,24,Male,Ahmedabad,Gujarat,Electronics,Power Bank,Net Banking,2025-03-18,3,281.28,30,590.69,7,3.6,Yes
ORD00166,CUST515,Saanvi,54,Male,Pune,Maharashtra,Beauty,Shampoo,COD,2025-06-03,3,1482.16,15,3779.51,2,4.6,Yes
ORD00167,CUST819,Sai,23,Female,Ahmedabad,Gujarat,Electronics,Wireless Earbuds,Debit Card,2025-11-27,4,2009.41,15,6831.99,2,4.8,No
ORD00168,CUST586,Ishaan,20,Male,Mumbai,Maharashtra,Beauty,Face Serum,Credit Card,2025-10-06,2,1213.8,30,1699.32,7,3.8,Yes
ORD00169,CUST507,Aditya,37,Male,Delhi,Delhi,Grocery,Dry Fruits Pack,Net Banking,2025-05-04,2,3016.77,30,4223.48,8,3.4,No
ORD00170,CUST337,Aditya,39,Female,Surat,Gujarat,Home Decor,Wall Clock,Credit Card,2025-01-16,1,2602.81,10,2342.53,2,4.4,No
ORD00171,CUST699,Ira,23,Female,Hyderabad,Telangana,Home Decor,Wall Clock,COD,2025-02-07,3,2853.58,15,7276.63,5,3.7,Yes
ORD00172,CUST105,Kabir,46,Female,Jaipur,Rajasthan,Fashion,Handbag,Credit Card,2025-02-22,2,3749.35,10,6748.83,4,3.9,Yes
